Stock A,Stock B,Stock C,Stock D,ETF
72.82296593982258,248.86456799406784,315.06303215229514,62.13885450318027,102.02002819358744
72.78638009022255,248.82753736934225,315.298370904706,62.88303614880522,109.073322883072
72.58748777663007,249.73617324185588,317.2996026152549,63.191861836643156,107.832532630003
72.85777370841753,248.94553779507217,319.4278357721335,63.53260212860983,115.04142373944143
72.32240712454708,249.0104523089816,319.45008634581694,63.649735100785065,115.77710936476478
72.18758537375224,248.7390412058142,319.5460026076886,63.77849552206938,118.04855816889571
72.85269939383141,248.32620097092362,319.77760849343247,63.423268318813,121.01484055140479
72.99542210955535,247.31984720942404,319.17565150432523,63.13782521062033,121.53403004210998
73.20323793501657,246.9101153434947,319.0083460596419,63.08363678405383,118.91287685098507
73.51309698050497,246.69573066232442,319.27248009041017,63.31262122304405,120.03910562651056
73.52914527277824,247.6734321960943,319.76288939009794,63.34837784429233,119.45520191412932
73.60519620262866,246.85099222819971,320.1675508406739,63.21549074116356,116.31264474019846
73.77874135379608,245.85817554265984,321.5305056140916,62.53763145033576,119.45863581296798
74.04058821954699,245.06092917102762,321.30548611825174,62.407157198185594,121.68181811795819
73.74016330297762,244.73859353756447,319.8711807954983,62.254074785876746,115.11357068888978
73.7008890188115,244.25906940885258,320.71777664104883,62.47302055865173,118.2094508282348
73.5719770933353,245.29203457627492,321.51936203218634,62.66219016600752,121.12117881078993
73.71747509733886,245.59237312932555,322.28516983740604,62.946345315830435,128.94933884146946
73.65896688281441,245.2868450904527,323.24440162776745,63.546806961730276,131.5155537744644
73.28443250537458,244.89720344663834,324.57861966021966,64.05212345138538,133.99919801866224
73.37065965648426,244.85988333408412,326.83687934076823,63.77881735874516,142.372599700019
73.40278684128805,244.9007038198461,327.4185502409072,63.6861438761959,142.62199938034473
73.41224911428218,246.19472451568387,327.18475679332187,63.64494830699367,145.61956659612264
73.78704012376788,247.045346891651,325.197852554292,63.99012447163325,143.96966119548307
74.10408694472324,246.57465125182193,326.2572901969408,64.33272395490921,144.85770347326886
74.22758702921658,246.29031512816968,324.1738249380492,64.58461596032805,147.07993967381933
74.68955680325715,245.80395957629807,324.4265434587368,64.21144250192391,146.68518439423758
74.59674152295855,245.73384074791755,324.34558658057006,63.52239478132937,145.5547462043807
74.18649629196676,245.6984835560846,325.6774859460521,63.8965495953214,146.73216089680508
74.59470332041958,245.4626931447796,324.6060680797154,63.722751584369405,149.15006470131658
74.60312112636014,246.51292129891328,324.764044626046,63.637568100730505,149.13260311819434
74.50772490854385,246.7172889389816,326.4357092089873,63.819377067170976,147.8129275033272
